Affinity Row ID,Organization Id,Name,Website,Description,Industry,Investors,Sector,Sub-Sector,Tech Trend(s)
113980601,117847450,Sheeva.AI (formerly Parkofon),sheeva.ai,"Enjoy the benefits of extreme loyalty, easy payments and low fraud within your existing mobile apps.      Powered by Sheeva.AI's high-accuracy location and real-time APIs.",Internet Software & Services; Information Technology & Services; Parking; Cloud; Gas; Infrastructure; Mobile; Payment; Physical; Service; Space; Technology; Vehicles,Techstars,Energy; Transportation + Logistics,Connected Vehicles; EV Ecosystem,Location Tracking
113228959,263025514,Mobilyze,mobilyze.ai,Location analytics for the entire EV ecosystem. Infrastructure optimization and EV micro-targeting.,Renewable Electricity; Renewables & Environment; Analytics; Data; Infrastructure; Market; Optimize; Vehicles,Plug And Play Tech Center; Urban Us,Transportation + Logistics; Energy,EV Ecosystem,Predictive Analytics and Forecasting
112965565,164005770,Tenderd,tenderd.com,Equipment Rental Marketplace for Middle East |YC S18| Download app: https://t.co/0Zn7835wOS,Construction; Transportation; Logistics; Fleet Management; Equipment; Marketplace; Rental; B2B,Catapult Vc; Global Founders Capital; Y Combinator; Ace & Company; Venturesouq; Soma Capital; Beco; Beco Capital; Revel Partners; Dynamo,Built Environment,Asset Tracking & Management; Carbon Data Capture,Fintech and Marketplaces
112960319,223570042,Advanced Ionics,advanced-ionics.com,Advanced Ionics has created an electrolyzer that allows industrial hydrogen users to produce green hydrogen for less than $1/kg.,Gas Utilities; Oil & Gas; Other Energy; Industry; Technology,Southwest Angel Network; Clean Energy Ventures,Energy,Hydrogen,Deeptech
112834861,263756234,RailVision Analytics,railvision.ca,"Customized data analysis, software solutions, and consulting for the rail industry. RailVision Analytics takes the data available from your fleet equipment, combined with our proven AI algorithms to provide insight on saving fuel, equipment deteriorati...",Internet Software & Services; Information Technology & Services; Artificial Intelligence; Web Development; Analytics; Automation; Consulting; Data; Equipment; Industry; Management; Page; Product; Service; Software,Active Impact Investments; Cycle Momentum,Transportation + Logistics,"Marine, Rail, & Port Logistics",Analytics; Artificial Intelligence; Business Intelligence; Predictive Maintenance
112612316,263185041,3E Nano,3enano.com,Nano-thin Diamond-Like Carbon Smart Solar Control Coatings,"Renewable Electricity; Chemicals; Chemicals, Petrochemicals, Glass & Gases; Manufacturing; Renewables & Environment; Aerospace; Automation; Building; Business; Commerce; Development; Energy; Engineering; Finance; FinTech; Glass; Industry; IT; Management; Market; Product; Sales; Science; Service; Smart; Solar; Technology",Canadian Technology Accelerator,Built Environment; Energy,Solar; Energy Efficiency,Albedo Modification; New Materials
111492013,224690318,Evercity,evercity.io,Green debt and carbon origination platform,Renewable Electricity; Banking; Finance; Renewables & Environment; Blockchain; Cryptocurrency; FinTech; Platform,Techstars,Cross-Sector,Sustainable Investing,Software
111232090,224038648,Pharm Robotics,pharmrobotics.net,"The origins of the company all began in the summer of 2017. At the time, Marinus was a dairy farmer overseeing multiple operations within the agriculture industry as well as serving as a mentor to Alexander. Alexander was an undergraduate student and manager for Marinus' compost operation. One day, Marinus approached Alexander with the idea of creating a sustainable economic future for dairy farmers by automating the shot delivering process carried out by thousands of dairy farmers around the world. Marinus and Alexander decided to accept this new challenge and created a patent for the invention entitled, ""The Robotic Injection System for Domestic Herd Animals."" After the idea became intellectual property, the two decided to create an organized entity and participate in an accelerator program sponsored by Dairy Farmers of America. During the accelerator program, Marinus and Alexander learned through many industry experts on how to tackle the market they were about to enter. Along the way, Marinus and Alexander invited Dr. Abraham Duplessis and Jason Swart to join the Pharm Robotics team. After the accelerator program ended, the four individuals had an arsenal of knowledge to build a strategic business model and shortly after received funding to build the prototype for our primary product, Sureshot. 2733 Cottonwood Ave.",AgTech; Machine Learning; Artificial Intelligence; Robotics; Hardware; AgriTech; Cloud; Dairy; Data; Farm; Health; Information; Pharmacy; Product; Time; Grocery Retail; Retail,Ppp,Food + Agtech,First Mile Farm,Automation; Solar
111081093,122029161,OnRout,onrout.com,"OnRout is on a mission to take the waste out of shipping. Every carrier drives every street in the U.S. daily, duplicating each other’s routes. We help consolidate routes across carriers using our real-time bidding system for parcels. Think of it as carpooling for packages. We save retailers and carriers money while reducing carbon emissions for everyone. We have drawn on our years of experience on both the shipper and carrier sides of the business to design a platform that benefits both. We’ve updated the industry’s 50-year old way of pricing with modern technology and techniques to drive efficiency, lower costs and reduce emissions.",Internet Software & Services; Technology; Internet; Shipping & Logistics; B2B; Delivery; Networks; Platform,Masschallenge,Transportation + Logistics,Middle Mile & Freight Tech,Fintech and Marketplaces; Real-Time Bidding
110949716,223917268,Benchmark Labs,benchmarklabs.com,"Benchmark Labs is the leading provider of AI-driven weather forecasting solutions for the agriculture, energy, and insurance sectors.",Renewable Electricity; Renewables & Environment; Agriculture; AgriTech; Energy; Environmental; InsurTech; Internet of Things; Learn; Management; Software; Water Tech,Techstars; Plug And Play Tech Center,Energy; Cross-Sector; Food + Agtech,Climate Risk Modeling; First Mile Farm; Transmission & Distribution Maintenance,Weather Forecasting; Internet of Things
